technology,cost_type,unit,2020,2030,2040,2050,2060,reference,link,note
solar-utility,investment,cny/kw,2200,2200,1900,1700,1500,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00357E.",
solar-utility,investment,$/mw,1200000,1200000,1200000,1200000,1200000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
solar-utility,investment,cny/kw,2400,2400,2100,2000,1800,Sun et al.,"Qixing Sun, Chao Zhang, Chengren Li, Peipei You, Xiao Gao, Qian Zhao, Zhao Xu, Sijia Liu, and Li Yanlin. Prediction of Power System Cost and Price Level Under the Goal of Carbon Peak and Carbon Neutralization�� (in Chinese).",
solar-utility,investment,eur/kw,509.47,347.56,290.58,265,265,PyPSA-China_default,,
solar-utility,investment,cny/kw,2700,2700,2400,2200,2000,NREL ATB,https://atb.nrel.gov/electricity/2026/index,
solar-utility,investment,cny/kw,2800,2800,2100,1900,1700,Li et al.,"Li, Mingquan, Rui Shan, Ahmed Abdulla, Edgar Virguez, and Shuo Gao. ""The role of dispatchability in China's power system decarbonization.""?Energy & Environmental Science?17, no. 6 (2024): 2193-2207.",
solar,investment,eur/kw,733.47,492.11,407.87,370.19,370.19,PyPSA-China_default,,
solar,investment,cny/kw,3200,2200,-,-,-,LBNL,"LBNL, ACHIEVING AN 80% CARBON FREE ELECTRICITY SYSTEM IN CHINA BY 2035, 2023",
solar,investment,cny/kw,3600,2500,2100,2000,1800,PyPSA-China_new,"LBNL, ACHIEVING AN 80% CARBON FREE ELECTRICITY SYSTEM IN CHINA BY 2035, 2020-2030 AND 2040-2060 from Prediction of Power System Cost and Price Level Under the Goal of Carbon Peak and Carbon Neutralization�� (in Chinese)",
PHS,investment,$/mw,555000,555000,555000,555000,555000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
PHS,investment,cny/kw,5250,5250,4700,4700,4250,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00365E.",
PHS,investment,eur/kw,2208.16,2208.16,2208.16,2208.16,2208.16,PyPSA-China_default,,
onwind,investment,cny/kw,4300,4300,3900,3400,2900,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00355E.",
onwind,investment,$/mw,1150000,1150000,1150000,1150000,1150000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
onwind,investment,cny/kw,5600,5600,5200,5100,4100,Sun et al.,"Qixing Sun, Chao Zhang, Chengren Li, Peipei You, Xiao Gao, Qian Zhao, Zhao Xu, Sijia Liu, and Li Yanlin. Prediction of Power System Cost and Price Level Under the Goal of Carbon Peak and Carbon Neutralization�� (in Chinese).",
onwind,investment,eur/kw,1118.77,1035.56,977.57,963.07,963.07,PyPSA-China_default,,
onwind,investment,eur/kw,780,586.99,525.52,464.76,403.95,PyPSA-China_new,https://www.cctd.com.cn/show-19-203452-1.html https://atb.nrel.gov/electricity/2024/land-based_wind "China Power Industry Annual Development Report 2020" and "the NREL ATB TRENDS 2022-2050",
onwind,investment,cny/kw,4200,4200,3800,3200,2800,NREL ATB,https://atb.nrel.gov/electricity/2024/index,
onwind,investment,cny/kw,5800,5800,4500,4500,4500,Li et al.,"Li, Mingquan, Rui Shan, Ahmed Abdulla, Edgar Virguez, and Shuo Gao. ""The role of dispatchability in China's power system decarbonization.""?Energy & Environmental Science?17, no. 6 (2024): 2193-2205.",
onwind,investment,cny/kw,5400,5100,-,-,-,LBNL,"LBNL, ACHIEVING AN 80% CARBON FREE ELECTRICITY SYSTEM IN CHINA BY 2035, 2022",
offwind,investment,cny/kw,8600,8600,7600,7100,6800,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00356E.",
offwind,investment,$/mw,2200000,2200000,2200000,2200000,2200000,Switch-China,https://github.com/switch-model/switch-china-open-model/,
offwind,investment,cny/kw,11500,11500,9700,9100,8800,Sun et al.,"Qixing Sun, Chao Zhang, Chengren Li, Peipei You, Xiao Gao, Qian Zhao, Zhao Xu, Sijia Liu, and Li Yanlin. Prediction of Power System Cost and Price Level Under the Goal of Carbon Peak and Carbon Neutralization�� (in Chinese).",
offwind,investment,eur/kw,1804.77,1523.55,1415.08,1380.27,1380.27,PyPSA-China_default,,
offwind,investment,cny/kw,9500,9500,8800,8200,7600,NREL ATB,https://atb.nrel.gov/electricity/2025/index,
offwind,investment,cny/kw,11000,11000,7800,7800,7800,Li et al.,"Li, Mingquan, Rui Shan, Ahmed Abdulla, Edgar Virguez, and Shuo Gao. ""The role of dispatchability in China's power system decarbonization.""?Energy & Environmental Science?17, no. 6 (2024): 2193-2206.",
offwind,investment,cny/kw,15000,13800,-,-,-,LBNL,"LBNL, ACHIEVING AN 80% CARBON FREE ELECTRICITY SYSTEM IN CHINA BY 2035, 2024",
offwind,investment,cny/kw,15039.75,12696.25,9700,9100,8800,PyPSA-China_new,"LBNL, ACHIEVING AN 80% CARBON FREE ELECTRICITY SYSTEM IN CHINA BY 2035, 2024",
nuclear,investment,cny/kw,19500,19500,17743.55,16880.37,16017.2,Zhu et al.,"Zhu Z, Zhang D, Zhang X, Zhang X. Integrated modeling for the transition pathway of China��s power system. Energy Environ Sci 2025:10.1039.D5EE00355E. https://doi.org/10.1039/D5EE00364E.",
